time,instance,spotprice,lifetime,os,cpu,memory,disk,reward
1582936093.4858806,c5.2xlarge,0.2521,0.6650097017933195,SUSE Linux,8,16.0,400,0.30251999999999996
1582936231.7368681,t3a.small,0.0248,0.03871634812659201,Linux/UNIX,2,2.0,100,0.029759999999999998
1582936559.585463,t3a.small,0.0248,0.02180554413354181,Linux/UNIX,2,2.0,100,0.029759999999999998
1582936684.986407,c5.2xlarge,0.2521,0.9863120520238622,Linux/UNIX,8,16.0,400,0.30251999999999996
1582937454.0116653,t3a.small,0.0248,0.02953290710908294,Red Hat Enterprise Linux,2,2.0,100,0.029759999999999998
1582937716.1365337,m5d.16xlarge,1.1181,6.172952160513859,SUSE Linux,64,256.0,3200,1.34172
1582937928.670181,t3a.small,0.0248,0.023475397482641262,SUSE Linux,2,2.0,100,0.029759999999999998
1582938042.8580472,c5d.xlarge,0.0606,5.763347980190944,Red Hat Enterprise Linux,4,8.0,200,0.07271999999999999
1582939019.7766192,m5d.8xlarge,1.981,6.080605021751341,Linux/UNIX,32,128.0,1600,2.3772
1582939077.4036436,m5d.8xlarge,1.981,5.80134568037851,SUSE Linux,32,128.0,1600,2.3772
1582939618.7802258,m5d.2xlarge,0.4953,6.064336025810204,SUSE Linux,8,32.0,400,0.59436
1582939749.4354336,c5d.xlarge,0.0606,6.0766980787124965,SUSE Linux,4,8.0,200,0.07271999999999999
1582939787.332863,m5d.16xlarge,1.1181,5.750247407605555,Linux/UNIX,64,256.0,3200,1.34172
1582939940.4187515,m5d.16xlarge,1.1181,5.95484646095952,Linux/UNIX,64,256.0,3200,1.34172
1582940489.9374478,c5d.4xlarge,0.9784,4.211977668667158,Red Hat Enterprise Linux,16,32.0,800,1.17408
1582940761.7834477,m5d.8xlarge,1.981,5.900792448693117,Windows,32,128.0,1600,2.3772
1582941088.1843455,t3a.small,0.0248,0.05016417813865927,SUSE Linux,2,2.0,100,0.029759999999999998
1582941093.364688,c5.18xlarge,1.2208,5.736761808336258,Linux/UNIX,72,144.0,3600,1.46496
1582941384.1147194,c5.2xlarge,0.2521,1.0701927805414968,Linux/UNIX,8,16.0,400,0.30251999999999996
1582941575.5771348,t3a.small,0.0248,0.0423408953838463,SUSE Linux,2,2.0,100,0.029759999999999998
1582941654.5748572,c5.2xlarge,0.2521,0.9059128979784061,Linux/UNIX,8,16.0,400,0.30251999999999996
1582941738.414426,t3a.nano,0.0616,5.779556117398293,Windows,2,0.5,100,0.07392
1582942130.9099112,m5d.16xlarge,1.1181,5.826595140381421,Windows,64,256.0,3200,1.34172
1582942543.1606889,m5d.24xlarge,5.9431,6.676453815858702,Linux/UNIX,96,384.0,4800,7.1317200000000005
1582942759.3252923,t3a.small,0.0248,0.03962946684071994,Linux/UNIX,2,2.0,100,0.029759999999999998
1582943163.4315681,m5d.8xlarge,1.981,5.746525451425949,Linux/UNIX,32,128.0,1600,2.3772
1582943394.1564813,t3.large,0.0937,5.829776081062766,Linux/UNIX,2,8.0,100,0.11244
1582943406.2030575,c5.18xlarge,1.2208,5.793456986292813,Linux/UNIX,72,144.0,3600,1.46496
1582944088.3174684,m5d.large,0.0918,5.761932694896448,Windows,2,8.0,100,0.11016000000000001
1582944381.446865,t3a.small,0.0248,0.039836418083518496,Windows,2,2.0,100,0.029759999999999998
1582945231.3949077,c5d.18xlarge,1.2208,6.160803624154651,SUSE Linux,72,144.0,3600,1.46496
