time,instance,spotprice,lifetime,os,cpu,memory,disk,reward
1582934667.3294985,c5.2xlarge,0.1221,1.0271056890238606,Linux/UNIX,8,16,400,0.14651999999999998
1582938886.5617359,t3a.small,0.0064,0.028482348886326486,Linux/UNIX,2,2,100,0.00768
1582940216.2363815,c5.2xlarge,0.1221,0.9213439448118752,Linux/UNIX,8,16,400,0.14651999999999998
1582946838.2653477,c5.2xlarge,0.1221,1.167442839324363,Linux/UNIX,8,16,400,0.14651999999999998
1582947089.761812,t3a.small,0.0064,0.039716027458233105,Linux/UNIX,2,2,100,0.00768
1582947442.0049238,t3a.small,0.0064,0.03068326480773093,Linux/UNIX,2,2,100,0.00768
1582948886.429194,t3a.small,0.0064,0.021427738440950184,Linux/UNIX,2,2,100,0.00768
1582949137.364483,t3a.small,0.0064,0.04395126565186679,Linux/UNIX,2,2,100,0.00768
1582956433.252927,c5.2xlarge,0.1222,0.596755242160751,Linux/UNIX,8,16,400,0.14664
1582957759.5136743,t3a.small,0.0064,0.04012060576629108,Linux/UNIX,2,2,100,0.00768
1582957824.3334615,t3a.small,0.0064,0.033887776049887776,Linux/UNIX,2,2,100,0.00768
1582958193.5796394,t3a.small,0.0064,0.047614718260735905,Linux/UNIX,2,2,100,0.00768
1582959739.6708431,c5.2xlarge,0.1222,1.2266120682122157,Linux/UNIX,8,16,400,0.14664
1582965062.004372,t3a.small,0.0064,0.026293114136399894,Linux/UNIX,2,2,100,0.00768
1582967449.7746925,c5.2xlarge,0.1222,0.5802501967061282,Linux/UNIX,8,16,400,0.14664
1582968907.6047404,c5.2xlarge,0.1222,1.0314998859922762,Linux/UNIX,8,16,400,0.14664
1582969374.357421,t3a.small,0.0064,0.039624699663988884,Linux/UNIX,2,2,100,0.00768
1582970115.4799585,t3a.small,0.0064,0.03943151959980387,Linux/UNIX,2,2,100,0.00768
1582970858.403795,c5d.4xlarge,0.2424,4.011746321564193,Linux/UNIX,16,32,800,0.29087999999999997
1582974623.2353806,t3a.small,0.0064,0.049824017033445155,Linux/UNIX,2,2,100,0.00768
1582975496.4345381,t3a.small,0.0064,0.023738007241320986,Linux/UNIX,2,2,100,0.00768
1582985609.9296489,t3a.small,0.0064,0.04274715706758383,Linux/UNIX,2,2,100,0.00768
1582986030.8242373,c5.2xlarge,0.1222,0.600485398616794,Linux/UNIX,8,16,400,0.14664
1582989343.06422,c5.2xlarge,0.1222,1.121775792133179,Linux/UNIX,8,16,400,0.14664
1582992160.753625,t3a.small,0.0064,0.03573643256877607,Linux/UNIX,2,2,100,0.00768
1582992514.3964825,c5.2xlarge,0.1222,0.7290090451196248,Linux/UNIX,8,16,400,0.14664
1582992962.4890442,c5d.4xlarge,0.2424,4.229118346717786,Linux/UNIX,16,32,800,0.29087999999999997
1582994244.4763408,t3a.small,0.0064,0.0518879886173044,Linux/UNIX,2,2,100,0.00768
1582994601.966593,c5.2xlarge,0.1222,0.6958514780406999,Linux/UNIX,8,16,400,0.14664
1582995451.6887095,t3a.small,0.0064,0.03402533955769012,Linux/UNIX,2,2,100,0.00768
1582997686.3067033,c5.2xlarge,0.1222,0.52760638136415,Linux/UNIX,8,16,400,0.14664
1582999307.8021288,t3a.small,0.0064,0.035783138943165864,Linux/UNIX,2,2,100,0.00768
1583009036.691703,c5d.4xlarge,0.2424,4.2648011600944375,Linux/UNIX,16,32,800,0.29087999999999997
1583010130.1491792,t3a.small,0.0064,0.04539467776339062,Linux/UNIX,2,2,100,0.00768
1583014164.8929658,t3a.small,0.0064,0.030138713451252724,Linux/UNIX,2,2,100,0.00768
1583014681.0170135,t3a.small,0.0064,0.04022135102690287,Linux/UNIX,2,2,100,0.00768
1583021319.158935,c5.2xlarge,0.1221,1.0106128587016776,Linux/UNIX,8,16,400,0.14651999999999998
1583023384.4641204,c5.2xlarge,0.1221,1.198661869868514,Linux/UNIX,8,16,400,0.14651999999999998
1583024210.4377222,t3a.small,0.0064,0.023888634874959992,Linux/UNIX,2,2,100,0.00768
1583024447.961252,c5d.4xlarge,0.2424,4.177224482130025,Linux/UNIX,16,32,800,0.29087999999999997
1583024963.7140646,c5.2xlarge,0.1221,0.5331776646317082,Linux/UNIX,8,16,400,0.14651999999999998
1583025913.8540783,t3a.small,0.0064,0.039099942167731716,Linux/UNIX,2,2,100,0.00768
1583027675.5522227,t3a.small,0.0064,0.044536567165651055,Linux/UNIX,2,2,100,0.00768
1583029608.4992104,c5d.4xlarge,0.2424,4.2310111625226225,Linux/UNIX,16,32,800,0.29087999999999997
1583030669.103632,t3a.small,0.0064,0.042074437109943456,Linux/UNIX,2,2,100,0.00768
1583033236.811983,t3a.small,0.0064,0.029131626885749055,Linux/UNIX,2,2,100,0.00768
1583033662.9717226,t3a.small,0.0064,0.030394976881509814,Linux/UNIX,2,2,100,0.00768
1583034604.6888852,t3a.small,0.0064,0.03367342806324532,Linux/UNIX,2,2,100,0.00768
1583036155.6246774,t3a.small,0.0064,0.02939044334181736,Linux/UNIX,2,2,100,0.00768
1583039883.6056557,c5.2xlarge,0.1222,0.8486508276967057,Linux/UNIX,8,16,400,0.14664
1583039954.0975053,c5.2xlarge,0.1222,0.8867380213344805,Linux/UNIX,8,16,400,0.14664
1583044739.5270476,t3a.small,0.0064,0.032267830703647894,Linux/UNIX,2,2,100,0.00768
1583048141.50899,t3a.small,0.0064,0.023286573892815163,Linux/UNIX,2,2,100,0.00768
1583051008.4724715,c5.2xlarge,0.1222,0.7808564776886135,Linux/UNIX,8,16,400,0.14664
1583052551.3137233,t3a.small,0.0064,0.024377464647046324,Linux/UNIX,2,2,100,0.00768
1583053185.9699821,c5.2xlarge,0.1222,0.8864329974325912,Linux/UNIX,8,16,400,0.14664
1583053353.66481,t3a.small,0.0064,0.049213470713139106,Linux/UNIX,2,2,100,0.00768
1583058681.878172,c5.2xlarge,0.1222,0.9060502529495288,Linux/UNIX,8,16,400,0.14664
1583063435.6391723,t3a.small,0.0064,0.039509705085354445,Linux/UNIX,2,2,100,0.00768
1583067534.6762757,t3a.small,0.0064,0.03232950167530762,Linux/UNIX,2,2,100,0.00768
1583069990.6192634,t3a.small,0.0064,0.04279086406769218,Linux/UNIX,2,2,100,0.00768
1583071305.1066306,t3a.small,0.0064,0.0320881366683857,Linux/UNIX,2,2,100,0.00768
1583071862.5640376,t3a.small,0.0064,0.028865702748066862,Linux/UNIX,2,2,100,0.00768
1583076128.0896864,t3a.small,0.0064,0.02279492681933325,Linux/UNIX,2,2,100,0.00768
1583076695.3501835,t3a.small,0.0064,0.024630418725403124,Linux/UNIX,2,2,100,0.00768
1583089257.164785,t3a.small,0.0064,0.03969665553310227,Linux/UNIX,2,2,100,0.00768
1583091096.4658616,c5.2xlarge,0.1222,0.8847242304950579,Linux/UNIX,8,16,400,0.14664
1583093990.995359,t3a.small,0.0064,0.0466413209114303,Linux/UNIX,2,2,100,0.00768
1583094853.8815148,t3a.small,0.0064,0.029287229178193423,Linux/UNIX,2,2,100,0.00768
1583098315.386503,c5.2xlarge,0.1222,0.6691727375999493,Linux/UNIX,8,16,400,0.14664
1583099416.741308,c5d.4xlarge,0.2424,5.070927409559101,Linux/UNIX,16,32,800,0.29087999999999997
1583102136.1369858,t3a.small,0.0064,0.03328873321317973,Linux/UNIX,2,2,100,0.00768
1583105490.2701087,t3a.small,0.0064,0.028673386835401576,Linux/UNIX,2,2,100,0.00768
1583106168.1125808,t3a.small,0.0064,0.04161285606342778,Linux/UNIX,2,2,100,0.00768
1583107024.624505,t3a.small,0.0064,0.05071920654831706,Linux/UNIX,2,2,100,0.00768
1583108998.0919907,t3a.small,0.0064,0.022124598041721004,Linux/UNIX,2,2,100,0.00768
1583109670.5877004,t3a.small,0.0064,0.023003146808602312,Linux/UNIX,2,2,100,0.00768
1583110436.9592407,c5.2xlarge,0.1222,0.6172614259780425,Linux/UNIX,8,16,400,0.14664
