AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.257400,2020-06-10T23:41:51+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.227400,2020-06-10T23:41:51+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.127400,2020-06-10T23:41:51+00:00
eu-west-3a,c5.2xlarge,Windows,0.489200,2020-06-10T22:45:32+00:00
eu-west-3a,t3a.small,Red Hat Enterprise Linux,0.066600,2020-06-10T22:04:53+00:00
eu-west-3a,t3a.small,SUSE Linux,0.037600,2020-06-10T22:04:53+00:00
eu-west-3a,t3a.small,Linux/UNIX,0.006600,2020-06-10T22:04:53+00:00
eu-west-3a,t3a.small,Windows,0.024800,2020-06-10T22:04:53+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.134600,2020-06-10T22:00:57+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.174600,2020-06-10T22:00:57+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.074600,2020-06-10T22:00:57+00:00
eu-west-3a,c5d.18xlarge,Windows,4.402800,2020-06-10T21:36:39+00:00
eu-west-3a,c5d.18xlarge,Red Hat Enterprise Linux,1.220800,2020-06-10T21:36:22+00:00
eu-west-3a,c5d.18xlarge,SUSE Linux,1.190800,2020-06-10T21:36:22+00:00
eu-west-3a,c5d.18xlarge,Linux/UNIX,1.090800,2020-06-10T21:36:22+00:00
eu-west-3a,m5d.24xlarge,Windows,5.943100,2020-06-10T21:24:16+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,1.657100,2020-06-10T21:23:43+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,1.627100,2020-06-10T21:23:43+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,1.527100,2020-06-10T21:23:43+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.372400,2020-06-10T21:04:55+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.342400,2020-06-10T21:04:55+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.242400,2020-06-10T21:04:55+00:00
eu-west-3a,c5d.4xlarge,Windows,0.978400,2020-06-10T21:04:55+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061700,2020-06-10T15:04:40+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001700,2020-06-10T15:04:40+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001700,2020-06-10T15:04:40+00:00
eu-west-3a,t3a.nano,Windows,0.006200,2020-06-10T15:04:40+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,1.148100,2020-06-10T14:04:54+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,1.118100,2020-06-10T14:04:54+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,1.018100,2020-06-10T14:04:54+00:00
eu-west-3a,m5d.16xlarge,Windows,3.962100,2020-06-10T14:04:54+00:00
eu-west-3a,m5d.2xlarge,Windows,0.495300,2020-06-10T13:05:55+00:00
eu-west-3a,c5d.xlarge,Windows,0.244600,2020-06-10T13:05:28+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.257300,2020-06-10T13:05:08+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.227300,2020-06-10T13:05:08+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.127300,2020-06-10T13:05:08+00:00
eu-west-3a,m5d.8xlarge,Windows,1.981000,2020-06-10T12:04:40+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.639000,2020-06-10T12:04:04+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.609000,2020-06-10T12:04:04+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.509000,2020-06-10T12:04:04+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061700,2020-06-10T11:50:57+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001700,2020-06-10T11:50:57+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001700,2020-06-10T11:50:57+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.257300,2020-06-10T11:43:40+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.227300,2020-06-10T11:43:40+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.127300,2020-06-10T11:43:40+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.134500,2020-06-10T10:36:51+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.174500,2020-06-10T10:36:51+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.074500,2020-06-10T10:36:51+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.072800,2020-06-10T10:04:39+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.075800,2020-06-10T10:04:39+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.012800,2020-06-10T10:04:39+00:00
eu-west-3a,t3a.medium,Windows,0.031200,2020-06-10T10:04:39+00:00
eu-west-3a,c5.18xlarge,Windows,4.402800,2020-06-10T09:04:39+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.220800,2020-06-10T09:04:39+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.190800,2020-06-10T09:04:39+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.090800,2020-06-10T09:04:39+00:00
eu-west-3a,t2.large,Windows,0.059700,2020-06-10T06:05:41+00:00
eu-west-3a,t2.large,Red Hat Enterprise Linux,0.091700,2020-06-10T06:05:39+00:00
eu-west-3a,t2.large,SUSE Linux,0.131700,2020-06-10T06:05:39+00:00
eu-west-3a,t2.large,Linux/UNIX,0.031700,2020-06-10T06:05:39+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.257200,2020-06-10T05:53:12+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.227200,2020-06-10T05:53:12+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.127200,2020-06-10T05:53:12+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061600,2020-06-10T05:52:11+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001600,2020-06-10T05:52:11+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001600,2020-06-10T05:52:11+00:00
eu-west-3a,c5.metal,Red Hat Enterprise Linux,1.584400,2020-06-10T05:04:56+00:00
eu-west-3a,c5.metal,SUSE Linux,1.554400,2020-06-10T05:04:56+00:00
eu-west-3a,c5.metal,Linux/UNIX,1.454400,2020-06-10T05:04:56+00:00
eu-west-3a,c5.metal,Windows,5.870400,2020-06-10T05:04:55+00:00
eu-west-3a,m5d.large,Red Hat Enterprise Linux,0.091800,2020-06-10T05:04:39+00:00
eu-west-3a,m5d.large,SUSE Linux,0.131800,2020-06-10T05:04:39+00:00
eu-west-3a,m5d.large,Linux/UNIX,0.031800,2020-06-10T05:04:39+00:00
eu-west-3a,m5d.large,Windows,0.123800,2020-06-10T05:04:39+00:00
eu-west-3a,c5d.4xlarge,Red Hat Enterprise Linux,0.372400,2020-06-10T04:06:31+00:00
eu-west-3a,c5d.4xlarge,SUSE Linux,0.342400,2020-06-10T04:06:31+00:00
eu-west-3a,c5d.4xlarge,Linux/UNIX,0.242400,2020-06-10T04:06:31+00:00
eu-west-3a,t3.large,Windows,0.055900,2020-06-10T04:05:41+00:00
eu-west-3a,t3.large,Red Hat Enterprise Linux,0.088300,2020-06-10T04:05:21+00:00
eu-west-3a,t3.large,SUSE Linux,0.091300,2020-06-10T04:05:21+00:00
eu-west-3a,t3.large,Linux/UNIX,0.028300,2020-06-10T04:05:21+00:00
eu-west-3a,c5d.4xlarge,Windows,0.978400,2020-06-10T04:04:55+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.134600,2020-06-09T23:11:53+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.174600,2020-06-09T23:11:53+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.074600,2020-06-09T23:11:53+00:00
eu-west-3a,t3a.small,Red Hat Enterprise Linux,0.066600,2020-06-09T23:04:54+00:00
eu-west-3a,t3a.small,SUSE Linux,0.037600,2020-06-09T23:04:54+00:00
eu-west-3a,t3a.small,Linux/UNIX,0.006600,2020-06-09T23:04:54+00:00
eu-west-3a,t3a.small,Windows,0.024800,2020-06-09T23:04:54+00:00
eu-west-3a,c5.2xlarge,Windows,0.489200,2020-06-09T22:45:12+00:00
eu-west-3a,c5d.18xlarge,Windows,4.402800,2020-06-09T21:36:26+00:00
eu-west-3a,c5d.18xlarge,Red Hat Enterprise Linux,1.220800,2020-06-09T21:35:50+00:00
eu-west-3a,c5d.18xlarge,SUSE Linux,1.190800,2020-06-09T21:35:50+00:00
eu-west-3a,c5d.18xlarge,Linux/UNIX,1.090800,2020-06-09T21:35:50+00:00
eu-west-3a,m5d.24xlarge,Windows,5.943100,2020-06-09T21:24:13+00:00
eu-west-3a,m5d.24xlarge,Red Hat Enterprise Linux,1.657100,2020-06-09T21:23:27+00:00
eu-west-3a,m5d.24xlarge,SUSE Linux,1.627100,2020-06-09T21:23:27+00:00
eu-west-3a,m5d.24xlarge,Linux/UNIX,1.527100,2020-06-09T21:23:27+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.257100,2020-06-09T19:18:01+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.227100,2020-06-09T19:18:01+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.127100,2020-06-09T19:18:01+00:00
eu-west-3a,t3a.medium,Windows,0.031200,2020-06-09T18:05:46+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.072800,2020-06-09T18:05:45+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.075800,2020-06-09T18:05:45+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.012800,2020-06-09T18:05:45+00:00
eu-west-3a,t3a.nano,Windows,0.006200,2020-06-09T18:04:39+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061700,2020-06-09T17:03:37+00:00
eu-west-3a,t3a.nano,SUSE Linux,0.001700,2020-06-09T17:03:37+00:00
eu-west-3a,t3a.nano,Linux/UNIX,0.001700,2020-06-09T17:03:37+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.134400,2020-06-09T15:49:24+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.174400,2020-06-09T15:49:24+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.074400,2020-06-09T15:49:24+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,1.148100,2020-06-09T15:04:54+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,1.118100,2020-06-09T15:04:54+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,1.018100,2020-06-09T15:04:54+00:00
eu-west-3a,m5d.16xlarge,Windows,3.962100,2020-06-09T15:04:54+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.257000,2020-06-09T14:25:45+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.227000,2020-06-09T14:25:45+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.127000,2020-06-09T14:25:45+00:00
eu-west-3a,c5d.xlarge,Windows,0.244600,2020-06-09T13:05:20+00:00
eu-west-3a,m5d.2xlarge,Windows,0.495300,2020-06-09T13:04:58+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.257300,2020-06-09T13:04:53+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.227300,2020-06-09T13:04:53+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.127300,2020-06-09T13:04:53+00:00
eu-west-3a,m5d.8xlarge,Windows,1.981000,2020-06-09T12:03:54+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.639000,2020-06-09T12:03:54+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.609000,2020-06-09T12:03:54+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.509000,2020-06-09T12:03:54+00:00
eu-west-3a,t3a.nano,Red Hat Enterprise Linux,0.061600,2020-06-09T11:21:56+00:00
