AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
eu-west-3a,c5.18xlarge,Windows,4.402800,2020-05-02T23:54:04+00:00
eu-west-3a,c5.metal,Windows,5.870400,2020-05-02T23:53:24+00:00
eu-west-3a,c5.metal,Red Hat Enterprise Linux,1.584400,2020-05-02T23:53:15+00:00
eu-west-3a,c5.metal,SUSE Linux,1.554400,2020-05-02T23:53:15+00:00
eu-west-3a,c5.metal,Linux/UNIX,1.454400,2020-05-02T23:53:15+00:00
eu-west-3a,t3a.nano,Windows,0.006200,2020-05-02T23:15:32+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.222500,2020-05-02T22:51:37+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.192500,2020-05-02T22:51:37+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.092500,2020-05-02T22:51:37+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.253200,2020-05-02T21:54:04+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.223200,2020-05-02T21:54:04+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.123200,2020-05-02T21:54:04+00:00
eu-west-3a,m5d.8xlarge,Windows,2.130100,2020-05-02T21:27:57+00:00
eu-west-3a,c5.2xlarge,Windows,0.489200,2020-05-02T21:08:29+00:00
eu-west-3a,t3a.medium,Windows,0.031200,2020-05-02T20:38:29+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.789600,2020-05-02T20:13:24+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.759600,2020-05-02T20:13:24+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.659600,2020-05-02T20:13:24+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.073500,2020-05-02T19:06:53+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.076500,2020-05-02T19:06:53+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.013500,2020-05-02T19:06:53+00:00
eu-west-3a,m5d.2xlarge,Red Hat Enterprise Linux,0.257300,2020-05-02T17:08:43+00:00
eu-west-3a,m5d.2xlarge,SUSE Linux,0.227300,2020-05-02T17:08:43+00:00
eu-west-3a,m5d.2xlarge,Linux/UNIX,0.127300,2020-05-02T17:08:43+00:00
eu-west-3a,m5d.2xlarge,Windows,0.495300,2020-05-02T17:08:38+00:00
eu-west-3a,c5d.xlarge,Windows,0.244600,2020-05-02T17:08:10+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.226500,2020-05-02T16:19:53+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.196500,2020-05-02T16:19:53+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.096500,2020-05-02T16:19:53+00:00
eu-west-3a,t3.large,Windows,0.055900,2020-05-02T16:04:37+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.253100,2020-05-02T16:02:50+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.223100,2020-05-02T16:02:50+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.123100,2020-05-02T16:02:50+00:00
eu-west-3a,m5d.8xlarge,Windows,2.103600,2020-05-02T15:29:55+00:00
eu-west-3a,m5d.8xlarge,Red Hat Enterprise Linux,0.770000,2020-05-02T14:14:38+00:00
eu-west-3a,m5d.8xlarge,SUSE Linux,0.740000,2020-05-02T14:14:38+00:00
eu-west-3a,m5d.8xlarge,Linux/UNIX,0.640000,2020-05-02T14:14:38+00:00
eu-west-3a,m5d.large,Red Hat Enterprise Linux,0.091800,2020-05-02T14:03:17+00:00
eu-west-3a,m5d.large,SUSE Linux,0.131800,2020-05-02T14:03:17+00:00
eu-west-3a,m5d.large,Linux/UNIX,0.031800,2020-05-02T14:03:17+00:00
eu-west-3a,m5d.large,Windows,0.123800,2020-05-02T14:03:17+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.121400,2020-05-02T13:21:37+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.161400,2020-05-02T13:21:37+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.061400,2020-05-02T13:21:37+00:00
eu-west-3a,c5d.18xlarge,Red Hat Enterprise Linux,1.220800,2020-05-02T12:26:04+00:00
eu-west-3a,c5d.18xlarge,SUSE Linux,1.190800,2020-05-02T12:26:04+00:00
eu-west-3a,c5d.18xlarge,Linux/UNIX,1.090800,2020-05-02T12:26:04+00:00
eu-west-3a,c5.18xlarge,Red Hat Enterprise Linux,1.229500,2020-05-02T11:11:11+00:00
eu-west-3a,c5.18xlarge,SUSE Linux,1.199500,2020-05-02T11:11:11+00:00
eu-west-3a,c5.18xlarge,Linux/UNIX,1.099500,2020-05-02T11:11:11+00:00
eu-west-3a,m5d.8xlarge,Windows,2.099000,2020-05-02T10:21:37+00:00
eu-west-3a,t3.large,Red Hat Enterprise Linux,0.090600,2020-05-02T10:12:11+00:00
eu-west-3a,t3.large,SUSE Linux,0.093600,2020-05-02T10:12:11+00:00
eu-west-3a,t3.large,Linux/UNIX,0.030600,2020-05-02T10:12:11+00:00
eu-west-3a,c5.2xlarge,Red Hat Enterprise Linux,0.253200,2020-05-02T09:38:34+00:00
eu-west-3a,c5.2xlarge,SUSE Linux,0.223200,2020-05-02T09:38:34+00:00
eu-west-3a,c5.2xlarge,Linux/UNIX,0.123200,2020-05-02T09:38:34+00:00
eu-west-3a,c5d.18xlarge,Windows,4.402800,2020-05-02T09:04:36+00:00
eu-west-3a,t2.large,Red Hat Enterprise Linux,0.091700,2020-05-02T09:03:03+00:00
eu-west-3a,t2.large,SUSE Linux,0.131700,2020-05-02T09:03:03+00:00
eu-west-3a,t2.large,Linux/UNIX,0.031700,2020-05-02T09:03:03+00:00
eu-west-3a,t2.large,Windows,0.059700,2020-05-02T09:02:32+00:00
eu-west-3a,t3a.medium,Red Hat Enterprise Linux,0.073400,2020-05-02T08:57:03+00:00
eu-west-3a,t3a.medium,SUSE Linux,0.076400,2020-05-02T08:57:03+00:00
eu-west-3a,t3a.medium,Linux/UNIX,0.013400,2020-05-02T08:57:03+00:00
eu-west-3a,m5d.8xlarge,Windows,2.099000,2020-05-02T08:15:30+00:00
eu-west-3a,c5d.xlarge,Red Hat Enterprise Linux,0.121400,2020-05-02T08:07:10+00:00
eu-west-3a,c5d.xlarge,SUSE Linux,0.161400,2020-05-02T08:07:10+00:00
eu-west-3a,c5d.xlarge,Linux/UNIX,0.061400,2020-05-02T08:07:10+00:00
eu-west-3a,m5d.16xlarge,Red Hat Enterprise Linux,1.148100,2020-05-02T08:04:13+00:00
eu-west-3a,m5d.16xlarge,SUSE Linux,1.118100,2020-05-02T08:04:13+00:00
eu-west-3a,m5d.16xlarge,Linux/UNIX,1.018100,2020-05-02T08:04:13+00:00
